Program	Code	Mnemonic	Summary	Severity	HelpLink
C/C++ Compiler	C2089		'identifier' : 'class-key' too large	Error	http://msdn.microsoft.com/en-us/library/zt5y1a47.aspx
C/C++ Compiler	C2090		function returns array	Error	http://msdn.microsoft.com/en-us/library/fs34td6x.aspx
C/C++ Compiler	C2091		function returns function	Error	http://msdn.microsoft.com/en-us/library/xx2eekb5.aspx
C/C++ Compiler	C2092		'array name' array element type cannot be function	Error	http://msdn.microsoft.com/en-us/library/3c0s4y1z.aspx
C/C++ Compiler	C2093		'variable1' : cannot be initialized using address of automatic variable 'variable2'	Error	http://msdn.microsoft.com/en-us/library/8exfksza.aspx
C/C++ Compiler	C2095		'function' : actual parameter has type 'void' : parameter 'number'	Error	http://msdn.microsoft.com/en-us/library/3h0h49de.aspx
C/C++ Compiler	C2097		illegal initialization	Error	http://msdn.microsoft.com/en-us/library/5c6ha6cc.aspx
C/C++ Compiler	C2100		illegal indirection	Error	http://msdn.microsoft.com/en-us/library/bzf3eha6.aspx
C/C++ Compiler	C2104		'&amp;' on bit field ignored	Error	http://msdn.microsoft.com/en-us/library/1585b9yh.aspx
C/C++ Compiler	C2105		'operator' needs l-value	Error	http://msdn.microsoft.com/en-us/library/hczbs6w2.aspx
C/C++ Compiler	C2106		'operator' : left operand must be l-value	Error	http://msdn.microsoft.com/en-us/library/wxy5f14h.aspx
C/C++ Compiler	C2107		illegal index, indirection not allowed	Error	http://msdn.microsoft.com/en-us/library/4ce3c20s.aspx
C/C++ Compiler	C2108		subscript is not of integral type	Error	http://msdn.microsoft.com/en-us/library/c15fsbfw.aspx
C/C++ Compiler	C2109		subscript requires array or pointer type	Error	http://msdn.microsoft.com/en-us/library/fhexbxk9.aspx
C/C++ Compiler	C2112		'-' : pointer subtraction requires integral or pointer operand	Error	http://msdn.microsoft.com/en-us/library/bz883111.aspx
C/C++ Compiler	C2117		'identifier' : array bounds overflow	Error	http://msdn.microsoft.com/en-us/library/5awwxh25.aspx
C/C++ Compiler	C2118		negative subscript	Error	http://msdn.microsoft.com/en-us/library/16w19205.aspx
C/C++ Compiler	C2120		'void' illegal with all types	Error	http://msdn.microsoft.com/en-us/library/yte3yy7h.aspx
C/C++ Compiler	C2121		'#' : invalid character : possibly the result of a macro expansion	Error	http://msdn.microsoft.com/en-us/library/1s467t6a.aspx
C/C++ Compiler	C2122		'identifier' : prototype parameter in name list illegal	Error	http://msdn.microsoft.com/en-us/library/cc6z2e9k.aspx
C/C++ Compiler	C2128		'function' : alloc_text/same_seg applicable only to functions with C linkage	Error	http://msdn.microsoft.com/en-us/library/551hfhae.aspx
C/C++ Compiler	C2129		static function 'function' declared but not defined	Error	http://msdn.microsoft.com/en-us/library/acsd9e65.aspx
C/C++ Compiler	C2133		'identifier' : unknown size	Error	http://msdn.microsoft.com/en-us/library/c13wk277.aspx
C/C++ Compiler	C2138		illegal to define an enumeration without any members	Error	http://msdn.microsoft.com/en-us/library/56xbxs1b.aspx
C/C++ Compiler	C2139		'type' : an undefined class is not allowed as an argument to compiler intrinsic type trait 'trait'	Error	http://msdn.microsoft.com/en-us/library/ms173567.aspx
C/C++ Compiler	C2140		'type' : a type that is dependent on a generic type parameter is not allowed as an argument to compiler intrinsic type trait 'trait'	Error	http://msdn.microsoft.com/en-us/library/ms173568.aspx
C/C++ Compiler	C2141		array size overflow	Error	http://msdn.microsoft.com/en-us/library/ms235252.aspx
C/C++ Compiler	C2142		function declarations differ, variable parameters specified only in one of them	Error	http://msdn.microsoft.com/en-us/library/0w2982ds.aspx
C/C++ Compiler	C2143		syntax error : missing 'token1' before 'token2'	Error	http://msdn.microsoft.com/en-us/library/0afb82ta.aspx
C/C++ Compiler	C2144		syntax error : 'type' should be preceded by 'token'	Error	http://msdn.microsoft.com/en-us/library/1x3dw9tc.aspx
C/C++ Compiler	C2146		syntax error : missing 'token' before identifier 'identifier'	Error	http://msdn.microsoft.com/en-us/library/9xbcaa9t.aspx
C/C++ Compiler	C2147		syntax error : 'identifier' is a new keyword	Error	http://msdn.microsoft.com/en-us/library/3x4s7a6y.aspx
C/C++ Compiler	C2148		total size of array must not exceed 0x7fffffff bytes	Error	http://msdn.microsoft.com/en-us/library/s0z0bbfe.aspx
C/C++ Compiler	C2151		more than one language attribute	Error	http://msdn.microsoft.com/en-us/library/x22w1b85.aspx
C/C++ Compiler	C2152		'identifier' : pointers to functions with different attributes	Error	http://msdn.microsoft.com/en-us/library/b08ss75a.aspx
C/C++ Compiler	C2153		hex constants must have at least one hex digit	Error	http://msdn.microsoft.com/en-us/library/ecs2d3zd.aspx
C/C++ Compiler	C2154		'segment' : does not refer to a segment name	Error	http://msdn.microsoft.com/en-us/library/4hx3ktw7.aspx
C/C++ Compiler	C2155		'?' : invalid left operand, expected arithmetic or pointer type	Error	http://msdn.microsoft.com/en-us/library/ywbhw28h.aspx
C/C++ Compiler	C2162		expected macro formal parameter	Error	http://msdn.microsoft.com/en-us/library/81184a7f.aspx
C/C++ Compiler	C2163		'function' : not available as an intrinsic function	Error	http://msdn.microsoft.com/en-us/library/3ec3atw3.aspx
C/C++ Compiler	C2164		'function' : intrinsic function not declared	Error	http://msdn.microsoft.com/en-us/library/330x0abx.aspx
C/C++ Compiler	C2169		'function' : intrinsic function, cannot be defined	Error	http://msdn.microsoft.com/en-us/library/s85a3w4b.aspx
C/C++ Compiler	C2170		'identifier' : not declared as a function, cannot be intrinsic	Error	http://msdn.microsoft.com/en-us/library/0few5yxh.aspx
C/C++ Compiler	C2174		'function' : actual parameter has type 'void' : parameter number1, parameter list number2	Error	http://msdn.microsoft.com/en-us/library/bf63a4a7.aspx
C/C++ Compiler	C2175		'locale' : invalid locale	Error	http://msdn.microsoft.com/en-us/library/3923hsw2.aspx
C/C++ Compiler	C2179		'type' : an attribute argument cannot use type parameters	Error	http://msdn.microsoft.com/en-us/library/ks0zs0x6.aspx
